character,hex,count
–,0x2013,266906
α,0x03b1,99604
−,0x2212,95169
β,0x03b2,91958
μ,0x03bc,58641
′,0x2032,56650
’,0x2019,39600
 ,0x2009,38942
 ,0x2003,36818
Δ,0x0394,35023
”,0x201d,27169
“,0x201c,26116
γ,0x03b3,18710
—,0x2014,18500
•,0x2022,14580
‘,0x2018,11947
‐,0x2010,11755
κ,0x03ba,11615
∼,0x223c,11111
⇓,0x21d3,10109
→,0x2192,8783
 ,0x2002,6903
≥,0x2265,5607
 ,0x200a,5350
δ,0x03b4,5194
​,0x200b,4634
∗,0x2217,3819
‑,0x2011,3080
≤,0x2264,2855
ρ,0x03c1,2229
Ÿ,0x0178,2091
€,0x20ac,1934
†,0x2020,1838
™,0x2122,1834
χ,0x03c7,1712
⩾,0x2a7e,1378
…,0x2026,1326
≈,0x2248,1287
‡,0x2021,1137
λ,0x03bb,867
˚,0x02da,791
σ,0x03c3,733
 ,0x2005,667
ζ,0x03b6,667
ɛ,0x025b,637
∆,0x2206,609
▶,0x25b6,599
π,0x03c0,540
φ,0x03c6,474
∑,0x2211,454
ε,0x03b5,442
∶,0x2236,410
ﬁ,0xfb01,349
Σ,0x03a3,338
○,0x25cb,338
ι,0x03b9,297
Φ,0x03a6,256
θ,0x03b8,246
ϵ,0x03f5,231
▵,0x25b5,215
″,0x2033,205
►,0x25ba,201
ˆ,0x02c6,194
◦,0x25e6,183
ψ,0x03c8,178
Å,0x212b,173
ϕ,0x03d5,170
˜,0x02dc,170
⁎,0x204e,165
▪,0x25aa,160
↓,0x2193,155
⋅,0x22c5,150
,0xe001,146
□,0x25a1,134
 ,0x2007,127
❚,0x275a,98
ı,0x0131,95
‖,0x2016,93
♯,0x266f,85
▴,0x25b4,83
⇑,0x21d1,79
,0xe002,77
∣,0x2223,77
≪,0x226a,71
Ι,0x0399,70
∷,0x2237,65
〈,0x3008,64
〉,0x3009,64
⩽,0x2a7d,63
■,0x25a0,62
Ψ,0x03a8,61
●,0x25cf,61
η,0x03b7,58
∂,0x2202,56
∈,0x2208,53
Β,0x0392,50
♦,0x2666,49
 ,0x2008,49
←,0x2190,47
↔,0x2194,47
,0xf8e9,47
τ,0x03c4,47
∕,0x2215,46
,0xf00e,45
⁁,0x2041,42
∧,0x2227,41
,0xf6af,38
,0xf6ae,38
≫,0x226b,35
↑,0x2191,34
ÿ,0x00ff,33
◆,0x25c6,32
▿,0x25bf,32
Š,0x0160,31
Ϭ,0x03ec,30
,0xf6ba,29
ν,0x03bd,29
Œ,0x0152,28
׳,0x05f3,28
Ω,0x03a9,27
Π,0x03a0,27
∞,0x221e,25
ς,0x03c2,24
◊,0x25ca,23
≅,0x2245,22
ﬂ,0xfb02,22
ﬀ,0xfb00,22
▼,0x25bc,22
‚,0x201a,20
ΰ,0x03b0,20
≦,0x2266,19
√,0x221a,19
➝,0x279d,18
▲,0x25b2,17
▾,0x25be,17
,0xf020,17
œ,0x0153,17
⋯,0x22ef,16
,0xf6bb,16
≠,0x2260,15
℃,0x2103,15
∥,0x2225,15
̣,0x0323,14
Ł,0x0141,14
‴,0x2034,14
ʹ,0x0374,13
̊,0x030a,13
ω,0x03c9,13
ƒ,0x0192,12
、,0x3001,12
✉,0x2709,11
˙,0x02d9,11
‥,0x2025,11
с,0x0441,10
∉,0x2209,10
ο,0x03bf,10
Ϯ,0x03ee,10
́,0x0301,10
⁄,0x2044,10
Κ,0x039a,10
͘,0x0358,10
„,0x201e,10
△,0x25b3,10
Μ,0x039c,9
ﬃ,0xfb03,9
̂,0x0302,9
‰,0x2030,9
˛,0x02db,8
⌂,0x2302,8
�,0xfffd,8
Λ,0x039b,8
⅓,0x2153,7
Α,0x0391,7
◇,0x25c7,7
▨,0x25a8,7
Τ,0x03a4,7
,0xe700,6
Θ,0x0398,6
Ž,0x017d,6
̈,0x0308,6
߰,0x07f0,6
Ⅱ,0x2161,6
ℳ,0x2133,6
ł,0x0142,6
⎫,0x23ab,5
⧫,0x29eb,5
〉,0x232a,5
,0xf6d9,5
∊,0x220a,5
⎧,0x23a7,5
⎩,0x23a9,5
⎨,0x23a8,5
,0xe003,5
〈,0x2329,5
ꞌ,0xa78c,5
∝,0x221d,5
ů,0x016f,5
⎬,0x23ac,5
ś,0x015b,5
˘,0x02d8,5
ξ,0x03be,5
⎭,0x23ad,5
 ,0x202f,5
ʹ,0x02b9,4
⟨,0x27e8,4
③,0x2462,4
є,0x0454,4
②,0x2461,4
⟩,0x27e9,4
―,0x2015,4
④,0x2463,4
①,0x2460,3
‒,0x2012,3
⊚,0x229a,3
ℓ,0x2113,3
‹,0x2039,3
⊙,0x2299,3
☆,0x2606,3
,0xf02f,3
⊘,0x2298,3
š,0x0161,2
ě,0x011b,2
♢,0x2662,2
,0xf0ae,2
